source_id,source_group,ok,status_code,evidence_count,robots_blocked,error,url
numerospam_mobile_662,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/662,https://numerospam.es/moviles/es/662
numerospam_mobile_663,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/663,https://numerospam.es/moviles/es/663
numerospam_mobile_664,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/664,https://numerospam.es/moviles/es/664
numerospam_mobile_665,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/665,https://numerospam.es/moviles/es/665
numerospam_mobile_666,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/666,https://numerospam.es/moviles/es/666
numerospam_mobile_667,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/667,https://numerospam.es/moviles/es/667
numerospam_mobile_668,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/668,https://numerospam.es/moviles/es/668
numerospam_mobile_669,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/669,https://numerospam.es/moviles/es/669
numerospam_mobile_670,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/670,https://numerospam.es/moviles/es/670
numerospam_mobile_671,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/671,https://numerospam.es/moviles/es/671
numerospam_mobile_672,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/672,https://numerospam.es/moviles/es/672
numerospam_mobile_673,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/673,https://numerospam.es/moviles/es/673
numerospam_mobile_674,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/674,https://numerospam.es/moviles/es/674
numerospam_mobile_675,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/675,https://numerospam.es/moviles/es/675
numerospam_mobile_676,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/676,https://numerospam.es/moviles/es/676
numerospam_mobile_677,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/677,https://numerospam.es/moviles/es/677
numerospam_mobile_678,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/678,https://numerospam.es/moviles/es/678
numerospam_mobile_679,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/679,https://numerospam.es/moviles/es/679
numerospam_mobile_680,numerospam,0,,0,0,HTTPError: 525 Server Error: <none> for url: https://numerospam.es/moviles/es/680,https://numerospam.es/moviles/es/680
